baseline,test_accuracy,test_macro_auc
B0_Centralized,0.6546666666666666,0.8787725612260049
B1_LocalOnly,0.4840525375161115,0.7737543809886227
B2_FedAvg,0.6582781456953642,0.8786511454790364
B3_FedProx,0.6450331125827815,0.8765858213490837
B4_DP_FedAvg,0.15364238410596026,0.47916500000681594
B5_MOON,0.3708609271523179,0.6941054019254912
